4073 | 究極完全態・グレート・モス | きゅうきょくかんぜんたい・グレート・モス | 地 | 昆虫族 | - | 8 | ['効果'] | 進化の繭がつけられて６ターン後のプチモスを生け贄に捧げない限り召喚できない。 | 3500 | 3000 | 1999-07-08 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4073 | https://yugioh-wiki.net/index.php?%A1%D4%B5%E6%B6%CB%B4%B0%C1%B4%C2%D6%A1%A6%A5%B0%A5%EC%A1%BC%A5%C8%A1%A6%A5%E2%A5%B9%A1%D5 | https://ocg-card.com/img/card/ocg/dp19-013.jpg
4364 | ホーリー・ナイト・ドラゴン | ホーリー・ナイト・ドラゴン | 光 | ドラゴン族 | - | 7 | ['通常'] | 聖なる炎で悪しき者を焼きはらう、神聖な力を持つドラゴン。 | 2500 | 2300 | 1999-07-08 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4364 | https://yugioh-wiki.net/index.php?%A1%D4%A5%DB%A1%BC%A5%EA%A1%BC%A1%A6%A5%CA%A5%A4%A5%C8%A1%A6%A5%C9%A5%E9%A5%B4%A5%F3%A1%D5 | https://ocg-card.com/img/card/ocg/15ax-m10.jpg
4025 | 封印されし者の右腕 | ふういんされしもののみぎうで | 闇 | 魔法使い族 | - | 1 | ['通常'] | 封印された右腕。封印を解くと、無限の力を得られる。 | 200 | 300 | 1999-07-08 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4025 | https://yugioh-wiki.net/index.php?%A1%D4%C9%F5%B0%F5%A4%B5%A4%EC%A4%B7%BC%D4%A4%CE%B1%A6%CF%D3%A1%D5 | https://ocg-card.com/img/card/ocg/15ay-a20.jpg
4026 | 封印されし者の左腕 | ふういんされしもののひだりうで | 闇 | 魔法使い族 | - | 1 | ['通常'] | 封印された左腕。封印を解くと、無限の力を得られる。 | 200 | 300 | 1999-08-05 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4026 | https://yugioh-wiki.net/index.php?%A1%D4%C9%F5%B0%F5%A4%B5%A4%EC%A4%B7%BC%D4%A4%CE%BA%B8%CF%D3%A1%D5 | https://ocg-card.com/img/card/ocg/15ay-a21.jpg
4725 | スカルライダー | スカルライダー | 闇 | アンデット族 | - | 6 | ['儀式'] | 「スカルライダーの復活」により降臨。場か手札から、星の数が合計６個以上になるようカードを生け贄に捧げなければならない。 | 1900 | 1850 | 1999-08-20 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4725 | https://yugioh-wiki.net/index.php?%A1%D4%A5%B9%A5%AB%A5%EB%A5%E9%A5%A4%A5%C0%A1%BC%A1%D5 |  https://yugioh-list.com/img/card/m/02291.jpg.webp
4386 | 青眼の究極竜 | ブルーアイズ・アルティメットドラゴン | 光 | ドラゴン族 | - | 12 | ['融合'] | 青眼の白龍＋青眼の白龍＋青眼の白龍 | 4500 | 3800 | 1999-08-26 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4386 | https://yugioh-wiki.net/index.php?%A1%D4%C0%C4%B4%E3%A4%CE%B5%E6%B6%CB%CE%B5%A1%D5 | https://ocg-card.com/img/card/ocg/p3-01.jpg
4719 | メテオ・ブラック・ドラゴン | メテオ・ブラック・ドラゴン | 炎 | ドラゴン族 | - | 8 | ['融合'] | 真紅眼の黒竜＋メテオ・ドラゴン | 3500 | 2000 | 1999-08-26 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4719 | https://yugioh-wiki.net/index.php?%A1%D4%A5%E1%A5%C6%A5%AA%A1%A6%A5%D6%A5%E9%A5%C3%A5%AF%A1%A6%A5%C9%A5%E9%A5%B4%A5%F3%A1%D5 | https://ocg-card.com/img/card/ocg/p3-02.jpg
4720 | ファイヤー・ウイング・ペガサス | ファイヤー・ウイング・ペガサス | 炎 | 獣族 | - | 6 | ['通常'] | 色鮮やかな真紅の翼をはばたかせ、天を駆け抜ける天馬。 | 2250 | 1800 | 1999-08-26 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4720 | https://yugioh-wiki.net/index.php?%A1%D4%A5%D5%A5%A1%A5%A4%A5%E4%A1%BC%A1%A6%A5%A6%A5%A4%A5%F3%A5%B0%A1%A6%A5%DA%A5%AC%A5%B5%A5%B9%A1%D5 | https://ocg-card.com/img/card/ocg/p3-03.jpg
4712 | エビルナイト・ドラゴン | エビルナイト・ドラゴン | 闇 | ドラゴン族 | - | 7 | ['通常'] | 邪悪な騎士の心に宿るドラゴンが実体化したもの。 | 2350 | 2400 | 1999-08-26 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4712 | https://yugioh-wiki.net/index.php?%A1%D4%A5%A8%A5%D3%A5%EB%A5%CA%A5%A4%A5%C8%A1%A6%A5%C9%A5%E9%A5%B4%A5%F3%A1%D5 | https://ocg-card.com/img/card/ocg/p3-06.jpg
4709 | 千年原人 | せんねんげんじん | 地 | 獣戦士族 | - | 8 | ['通常'] | どんな時でも力で押し通す、千年アイテムを持つ原始人。 | 2750 | 2500 | 1999-08-26 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4709 | https://yugioh-wiki.net/index.php?%A1%D4%C0%E9%C7%AF%B8%B6%BF%CD%A1%D5 | https://ocg-card.com/img/card/ocg/p3-05.jpg
4711 | トライホーン・ドラゴン | トライホーン・ドラゴン | 闇 | ドラゴン族 | - | 8 | ['通常'] | 頭に生えている３本のツノが特徴的な悪魔竜。 | 2850 | 2350 | 1999-08-26 | 1 | true | https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4711 | https://yugioh-wiki.net/index.php?%A1%D4%A5%C8%A5%E9%A5%A4%A5%DB%A1%BC%A5%F3%A1%A6%A5%C9%A5%E9%A5%B4%A5%F3%A1%D5 | https://ocg-card.com/img/card/ocg/p3-04.jpg
